,account,is_momentum,is_reverse,is_institution,age,open_time
468,499157682621,1,0,0,48.0,1334.0
469,499157682623,0,0,0,39.0,1320.0
470,499157682716,0,0,0,31.0,1294.0
471,499157682718,0,0,0,32.0,1294.0
472,499157682814,0,0,0,27.0,1284.0
473,499157682823,0,0,0,36.0,1257.0
474,499157683014,0,0,0,44.0,1244.0
475,499157683016,0,1,0,30.0,1227.0
476,499157683022,0,0,0,29.0,1210.0
477,499157683023,0,0,0,36.0,1168.0
478,499157683116,0,0,1,,
479,499157683119,0,0,0,35.0,1124.0
480,499157683121,0,0,0,30.0,1091.0
481,499157683122,0,0,0,64.0,1068.0
482,499157683215,0,0,0,55.0,1041.0
483,499157683216,1,0,0,38.0,1034.0
484,499157683217,0,0,0,57.0,1031.0
485,499157683221,0,0,0,47.0,1027.0
486,499157683223,0,0,0,31.0,1024.0
487,499157683314,0,1,0,32.0,1021.0
488,499157683316,0,0,0,61.0,1020.0
489,499157683317,0,0,0,44.0,1006.0
490,499157683319,0,0,0,36.0,1006.0
491,499157683320,1,0,0,35.0,1006.0
492,499157683321,0,0,0,58.0,1006.0
493,499157683322,0,0,0,54.0,1003.0
494,499157683323,1,0,0,56.0,997.0
495,499157683414,0,0,0,44.0,990.0
496,499157683416,0,0,0,35.0,984.0
497,499157683417,0,1,0,35.0,984.0
498,499157683419,0,0,0,33.0,978.0
499,499157683421,0,0,0,33.0,937.0
500,499157683423,0,1,0,31.0,936.0
501,499157692521,0,0,0,53.0,916.0
502,499157692523,0,0,0,44.0,912.0
503,499157692614,0,0,0,44.0,888.0
504,499157692615,0,0,0,32.0,887.0
505,499157692616,0,0,0,50.0,881.0
506,499157692617,0,1,0,59.0,877.0
507,499157692623,0,0,0,45.0,873.0
508,499157692714,0,0,0,49.0,872.0
509,499157692716,0,0,0,36.0,667.0
510,499157692717,0,0,1,,
511,499157692720,0,0,0,36.0,860.0
512,499157692722,0,1,0,36.0,845.0
513,499157692723,1,0,0,47.0,842.0
514,499157692815,0,0,0,38.0,836.0
515,499157692822,0,0,0,33.0,825.0
516,499157692823,0,0,0,36.0,825.0
517,499157693014,1,0,0,36.0,807.0
518,499157693016,1,0,0,48.0,797.0
519,499157693020,0,0,0,43.0,696.0
520,499157693022,0,0,0,52.0,797.0
521,499157693114,1,0,0,40.0,775.0
522,499157693115,0,1,0,36.0,766.0
523,499157693116,0,0,0,55.0,761.0
524,499157693117,0,1,0,48.0,755.0
525,499157693123,1,0,0,43.0,744.0
526,499157693215,0,0,0,31.0,733.0
527,499157693216,0,0,0,45.0,723.0
528,499157693219,0,0,0,28.0,716.0
529,499157693220,0,0,0,48.0,716.0
530,499157693221,0,0,0,51.0,704.0
531,499157693316,0,0,0,34.0,684.0
532,499157693317,0,0,0,43.0,664.0
533,499157693320,0,0,0,23.0,667.0
534,499157693321,0,0,0,54.0,653.0
535,499157693414,0,1,0,47.0,640.0
536,499157693415,0,0,0,30.0,625.0
537,499157693417,0,0,0,37.0,635.0
538,499157693419,0,0,0,43.0,629.0
539,499157693422,0,1,1,,
540,499157702514,0,1,0,53.0,618.0
541,499157702516,0,0,0,28.0,608.0
542,499157702523,1,0,0,31.0,601.0
543,499157702617,0,0,0,63.0,597.0
544,499157702620,0,0,0,42.0,551.0
545,499157702717,0,1,0,49.0,543.0
546,499157702719,0,0,0,23.0,542.0
547,499157702720,0,0,0,46.0,541.0
548,499157702722,0,0,0,45.0,537.0
549,499157702815,0,0,0,35.0,522.0
550,499157702819,0,1,0,28.0,513.0
551,499157702821,1,0,0,39.0,450.0
552,499157702823,0,0,0,28.0,313.0
553,499157703017,0,0,0,46.0,489.0
554,499157703020,0,0,0,48.0,482.0
555,499157703022,0,0,0,40.0,467.0
556,499157703122,1,0,0,30.0,425.0
557,499157703215,0,0,0,38.0,439.0
558,499157703219,0,0,0,31.0,425.0
559,499157703220,0,0,0,40.0,426.0
560,499157703221,0,0,0,31.0,335.0
561,499157703222,0,0,0,60.0,312.0
562,499157703223,0,0,0,47.0,389.0
563,499157703314,0,0,0,64.0,419.0
564,499157703316,0,0,0,47.0,409.0
565,499157703317,0,1,0,54.0,396.0
566,499157703319,0,0,0,34.0,394.0
567,499157703414,0,0,0,55.0,356.0
568,499157703416,0,0,0,39.0,300.0
569,499157703417,0,0,0,37.0,300.0
570,499157703421,0,0,0,55.0,297.0
571,499157703422,0,0,0,28.0,296.0
572,499157712514,1,0,0,44.0,278.0
573,499157712516,0,0,0,63.0,255.0
574,499157712517,1,0,0,43.0,241.0
575,499157712519,0,0,0,51.0,237.0
576,499157712521,0,0,0,47.0,234.0
577,499157712522,0,0,0,47.0,249.0
578,499157712523,0,0,0,53.0,234.0
579,499157712614,0,0,0,41.0,222.0
580,499157712617,0,1,0,50.0,60.0
581,499157712722,0,0,0,35.0,26.0
582,499159682514,0,0,0,35.0,838.0
583,499159682516,0,1,0,35.0,800.0
